attendance,previous_marks,study_hours_w1,sleep_hours_w1,lms_logins_w1,assignments_completed_w1,mock_exams_w1,study_hours_w2,sleep_hours_w2,lms_logins_w2,assignments_completed_w2,mock_exams_w2,study_hours_w3,sleep_hours_w3,lms_logins_w3,assignments_completed_w3,mock_exams_w3,study_hours_w4,sleep_hours_w4,lms_logins_w4,assignments_completed_w4,mock_exams_w4,final_score
87.2,76.1,5.1,6.8,21.0,1,68.5,4.5,6.4,17.0,1,68.0,4.4,6.6,21.0,1,63.1,4.7,6.7,28.0,0,67.2,59.0
70.9,59.3,2.7,5.3,13.0,0,48.9,2.7,5.4,11.0,1,50.3,2.1,5.1,11.0,2,49.1,3.2,5.1,9.0,0,50.0,48.0
80.7,63.1,4.9,6.7,38.0,2,58.9,5.1,6.3,34.0,0,59.8,4.9,6.1,39.0,2,59.9,5.0,6.4,40.0,1,59.0,56.0
78.8,60.6,3.9,6.5,26.0,2,52.2,2.9,6.2,32.0,0,49.7,3.4,6.6,32.0,2,55.0,3.7,6.3,33.0,1,52.1,49.0
97.5,82.1,7.5,7.4,41.0,2,77.4,7.4,7.9,41.0,2,73.0,7.9,8.1,42.0,1,77.9,8.1,7.4,44.0,2,75.4,77.0
82.1,73.9,4.1,6.3,33.0,0,67.1,4.8,6.5,34.0,1,63.0,4.8,6.2,38.0,2,64.3,4.4,6.3,36.0,1,64.8,62.0
75.9,62.0,4.9,7.3,31.0,2,57.0,5.7,7.9,31.0,0,59.5,5.6,7.3,35.0,1,58.8,5.9,7.2,30.0,2,56.1,58.0
81.1,62.1,4.2,6.8,24.0,2,57.3,4.3,7.4,24.0,1,56.4,3.9,6.4,25.0,2,54.1,4.6,6.5,26.0,1,54.8,56.0
62.2,58.7,2.4,5.7,10.0,1,50.0,2.2,6.3,12.0,1,47.2,2.8,6.8,12.0,1,51.9,2.8,5.9,9.0,0,46.6,44.0
80.7,66.3,4.6,6.4,21.0,1,62.1,4.7,6.6,18.0,0,59.3,4.5,6.9,22.0,2,58.9,5.0,6.6,20.0,1,58.2,56.0
71.2,56.7,2.2,5.5,14.0,1,47.8,2.6,6.0,9.0,0,51.5,3.1,5.4,12.0,1,50.2,2.7,5.3,10.0,1,47.7,47.0
72.7,68.2,4.2,6.9,35.0,0,59.1,4.8,7.2,35.0,1,63.9,4.4,7.5,32.0,2,60.9,4.9,6.8,36.0,1,59.9,57.0
65.3,52.6,2.4,6.1,18.0,2,45.5,2.2,5.9,16.0,2,46.1,2.8,6.4,19.0,0,46.7,3.0,6.4,17.0,1,47.3,44.0
94.3,92.1,7.4,7.7,44.0,2,82.5,7.5,6.8,47.0,2,82.5,7.5,7.4,43.0,2,83.3,7.8,7.4,46.0,1,81.8,77.0
98.4,97.8,8.5,7.9,40.0,1,90.0,8.4,7.5,38.0,1,89.9,8.7,7.2,40.0,2,93.7,8.2,7.2,39.0,2,90.6,84.0
62.2,59.4,2.1,6.6,14.0,1,48.6,2.6,5.7,18.0,0,45.4,2.2,5.8,17.0,2,45.0,2.6,6.1,19.0,0,47.0,47.0
97.5,82.7,5.6,7.9,52.0,2,75.7,6.2,7.5,53.0,2,75.1,6.4,7.4,52.0,2,76.1,6.0,7.5,56.0,2,77.1,73.0
84.4,71.4,5.0,7.1,30.0,1,66.5,5.6,7.0,29.0,0,67.0,4.8,6.8,26.0,2,63.6,4.8,6.9,33.0,1,59.7,60.0
87.7,70.8,4.1,7.0,22.0,2,59.1,4.7,7.1,23.0,0,61.7,3.9,7.0,24.0,1,58.9,4.2,6.6,25.0,2,61.7,58.0
98.1,83.0,7.0,8.0,50.0,2,81.0,6.9,8.0,47.0,2,77.2,7.2,8.8,54.0,1,79.8,6.4,7.8,51.0,2,73.7,73.0
69.6,51.9,2.4,6.2,16.0,1,44.8,2.4,6.2,17.0,1,41.0,2.1,6.4,14.0,0,42.1,2.4,6.1,11.0,2,45.1,42.0
97.5,95.1,6.6,7.2,51.0,2,86.3,6.7,7.0,48.0,2,81.5,7.1,7.2,49.0,2,83.2,7.3,7.8,48.0,1,84.1,79.0
71.8,46.4,2.8,5.8,11.0,0,38.8,2.8,5.4,17.0,1,43.5,2.9,5.2,16.0,0,39.8,3.1,5.5,13.0,1,41.7,42.0
78.0,70.2,3.7,7.5,27.0,1,61.8,4.0,7.2,29.0,2,57.7,4.5,7.4,28.0,1,63.5,4.2,7.2,30.0,1,62.7,56.0
62.5,55.2,2.6,5.3,16.0,0,47.4,3.1,5.8,20.0,1,49.7,2.6,5.2,15.0,1,49.7,3.1,6.1,18.0,1,47.7,44.0
86.8,75.6,3.7,7.6,29.0,2,64.0,3.9,7.8,31.0,1,64.1,3.5,6.8,28.0,1,63.3,4.0,7.4,30.0,1,64.2,58.0
53.9,50.0,2.6,6.9,12.0,0,40.5,2.1,6.6,12.0,1,41.9,2.2,6.5,12.0,0,40.9,3.2,6.2,17.0,1,38.5,40.0
54.0,57.2,2.1,5.3,14.0,0,48.1,2.6,5.5,12.0,0,49.7,2.6,5.4,13.0,1,47.5,3.0,5.7,11.0,1,48.3,43.0
75.3,66.4,5.5,6.2,22.0,2,60.4,5.0,6.2,23.0,1,56.3,5.1,6.8,18.0,1,63.4,6.0,6.3,21.0,0,64.5,58.0
76.1,63.1,4.6,7.6,27.0,0,53.2,5.5,8.2,30.0,2,58.8,5.7,8.0,31.0,1,58.4,5.8,7.7,26.0,0,59.9,54.0
63.3,44.9,1.6,5.7,10.0,1,42.1,2.1,5.5,14.0,0,34.8,3.0,5.3,15.0,0,38.3,2.3,5.2,18.0,1,38.2,38.0
83.1,66.0,4.4,6.9,21.0,1,60.4,4.7,7.1,22.0,1,60.6,4.9,6.8,18.0,1,61.0,4.9,6.9,22.0,2,59.3,58.0
97.3,87.1,8.4,6.9,48.0,2,81.2,8.6,7.0,49.0,2,78.7,9.1,6.5,50.0,2,85.4,9.1,6.9,52.0,2,82.2,85.0
98.8,94.3,7.2,7.5,50.0,2,83.2,7.1,7.0,49.0,2,86.9,7.5,7.5,53.0,2,88.0,8.2,7.0,53.0,1,85.9,80.0
77.6,61.3,6.0,7.5,34.0,2,58.9,5.4,7.4,40.0,1,58.6,5.5,7.4,37.0,1,57.6,5.5,7.5,34.0,1,54.5,57.0
54.8,53.7,2.0,7.1,13.0,1,47.0,1.1,6.0,15.0,1,43.7,2.0,6.6,16.0,1,46.3,2.3,6.2,16.0,1,44.4,40.0
83.9,63.5,5.2,7.5,25.0,1,59.6,5.8,7.5,29.0,1,58.4,5.3,7.5,30.0,1,58.6,5.5,7.5,29.0,2,57.9,59.0
81.9,61.0,5.0,7.6,37.0,2,55.6,4.7,7.8,39.0,1,52.2,4.7,7.7,36.0,1,57.4,6.0,7.5,36.0,2,61.5,55.0
76.4,81.6,3.7,8.0,23.0,2,70.8,4.3,7.5,25.0,2,71.3,4.5,7.8,24.0,2,71.8,4.1,7.4,25.0,1,67.8,63.0
